,actual values,Predicted class,network class
671,0,0,anormaly
672,1,1,normal
673,0,0,anormaly
674,0,1,normal
675,1,1,normal
676,1,1,normal
677,1,1,normal
678,0,0,anormaly
679,0,0,anormaly
680,1,0,anormaly
681,1,1,normal
682,1,1,normal
683,1,1,normal
684,1,1,normal
685,1,1,normal
686,1,1,normal
687,0,0,anormaly
688,0,0,anormaly
689,0,0,anormaly
690,1,1,normal
691,1,1,normal
692,1,1,normal
693,0,0,anormaly
694,1,1,normal
695,0,0,anormaly
696,0,0,anormaly
697,1,1,normal
698,1,1,normal
699,1,1,normal
700,1,1,normal
701,1,1,normal
702,1,1,normal
703,0,0,anormaly
704,1,1,normal
705,0,0,anormaly
706,0,0,anormaly
707,1,0,anormaly
708,0,0,anormaly
709,0,0,anormaly
710,0,0,anormaly
711,1,1,normal
712,0,0,anormaly
713,0,0,anormaly
714,1,1,normal
715,0,0,anormaly
716,1,1,normal
717,0,1,normal
718,0,0,anormaly
719,1,0,anormaly
720,1,1,normal
721,1,1,normal
722,1,1,normal
723,1,1,normal
724,0,0,anormaly
725,0,0,anormaly
726,1,1,normal
727,1,1,normal
728,1,1,normal
729,1,1,normal
730,1,1,normal
731,1,1,normal
732,0,0,anormaly
733,0,0,anormaly
734,1,1,normal
735,1,1,normal
736,1,1,normal
737,0,0,anormaly
738,0,0,anormaly
739,1,1,normal
740,0,0,anormaly
741,0,0,anormaly
742,0,0,anormaly
743,1,1,normal
744,0,0,anormaly
745,1,1,normal
746,1,1,normal
747,1,1,normal
748,0,0,anormaly
749,1,1,normal
750,0,0,anormaly
751,0,0,anormaly
752,1,1,normal
753,0,0,anormaly
754,0,0,anormaly
755,0,1,normal
756,0,1,normal
757,0,0,anormaly
758,0,0,anormaly
759,0,0,anormaly
760,0,0,anormaly
761,0,0,anormaly
762,1,1,normal
763,0,0,anormaly
764,1,1,normal
765,0,0,anormaly
766,0,0,anormaly
767,1,1,normal
768,0,0,anormaly
769,0,0,anormaly
770,0,0,anormaly
771,0,0,anormaly
772,1,1,normal
773,1,1,normal
774,1,1,normal
775,0,0,anormaly
776,0,0,anormaly
777,0,1,normal
778,0,0,anormaly
779,1,1,normal
780,0,0,anormaly
781,0,0,anormaly
782,1,1,normal
783,1,1,normal
784,1,1,normal
785,0,0,anormaly
786,1,1,normal
787,0,0,anormaly
788,0,0,anormaly
789,1,1,normal
790,0,0,anormaly
791,1,1,normal
792,0,0,anormaly
793,0,0,anormaly
794,0,0,anormaly
795,0,0,anormaly
796,0,0,anormaly
797,1,1,normal
798,0,0,anormaly
799,1,1,normal
800,1,1,normal
801,1,1,normal
802,1,1,normal
803,1,1,normal
804,1,1,normal
805,1,1,normal
806,0,0,anormaly
807,0,0,anormaly
808,0,0,anormaly
809,1,1,normal
810,0,0,anormaly
811,1,1,normal
812,0,0,anormaly
813,1,1,normal
814,1,1,normal
815,0,0,anormaly
816,1,1,normal
817,1,1,normal
818,1,1,normal
819,0,0,anormaly
820,1,1,normal
821,1,1,normal
822,1,1,normal
823,0,0,anormaly
824,0,0,anormaly
825,1,1,normal
826,0,0,anormaly
827,1,1,normal
828,1,1,normal
829,0,0,anormaly
830,1,1,normal
831,1,1,normal
832,0,0,anormaly
833,1,1,normal
834,0,0,anormaly
835,1,1,normal
836,0,0,anormaly
837,1,1,normal
838,0,0,anormaly
839,1,1,normal
840,1,1,normal
841,1,1,normal
842,0,1,normal
843,1,1,normal
844,0,0,anormaly
845,1,1,normal
846,0,0,anormaly
847,0,0,anormaly
848,1,1,normal
849,0,0,anormaly
850,1,1,normal
851,0,1,normal
852,0,0,anormaly
853,0,0,anormaly
854,1,1,normal
855,0,0,anormaly
856,0,0,anormaly
857,1,1,normal
858,0,0,anormaly
859,0,0,anormaly
860,0,0,anormaly
861,1,1,normal
862,1,1,normal
863,0,0,anormaly
864,0,0,anormaly
865,1,1,normal
866,1,1,normal
867,1,1,normal
868,1,1,normal
869,1,1,normal
870,0,0,anormaly
871,0,0,anormaly
872,1,1,normal
873,0,0,anormaly
874,0,0,anormaly
875,0,0,anormaly
876,0,0,anormaly
877,0,0,anormaly
878,0,0,anormaly
879,1,1,normal
880,1,1,normal
881,0,0,anormaly
882,0,0,anormaly
883,0,0,anormaly
884,0,1,normal
885,1,1,normal
886,1,1,normal
887,0,0,anormaly
888,1,1,normal
889,1,1,normal
890,1,1,normal
891,0,0,anormaly
892,1,1,normal
893,0,0,anormaly
894,0,0,anormaly
895,1,1,normal
896,0,0,anormaly
897,0,0,anormaly
898,0,0,anormaly
899,0,0,anormaly
900,0,0,anormaly
901,1,1,normal
902,0,0,anormaly
903,1,1,normal
904,1,1,normal
905,0,0,anormaly
906,1,1,normal
907,0,0,anormaly
908,1,1,normal
909,0,1,normal
910,0,0,anormaly
911,0,0,anormaly
912,0,0,anormaly
913,0,0,anormaly
914,0,1,normal
915,0,0,anormaly
916,0,0,anormaly
917,0,0,anormaly
918,1,1,normal
919,0,0,anormaly
920,0,0,anormaly
921,1,1,normal
922,1,1,normal
923,0,0,anormaly
924,1,1,normal
925,0,0,anormaly
926,1,0,anormaly
927,0,0,anormaly
928,0,0,anormaly
929,0,0,anormaly
930,0,0,anormaly
931,0,0,anormaly
932,1,1,normal
933,1,1,normal
934,0,0,anormaly
935,1,1,normal
936,1,1,normal
937,1,1,normal
938,1,1,normal
939,1,1,normal
940,0,0,anormaly
941,0,0,anormaly
942,1,1,normal
943,1,1,normal
944,1,1,normal
945,1,1,normal
946,0,0,anormaly
947,0,0,anormaly
948,0,0,anormaly
949,0,0,anormaly
950,1,1,normal
951,0,0,anormaly
952,1,1,normal
953,1,1,normal
954,1,1,normal
955,1,1,normal
956,0,0,anormaly
957,1,1,normal
958,0,0,anormaly
959,0,0,anormaly
960,1,1,normal
961,1,1,normal
962,1,1,normal
963,0,0,anormaly
964,1,1,normal
965,0,0,anormaly
966,0,0,anormaly
967,0,0,anormaly
968,1,1,normal
969,1,1,normal
970,1,1,normal
971,1,1,normal
972,1,1,normal
973,0,0,anormaly
974,1,1,normal
975,0,0,anormaly
976,1,1,normal
977,1,1,normal
978,1,1,normal
979,1,1,normal
980,1,1,normal
981,1,1,normal
982,1,1,normal
983,1,1,normal
984,0,0,anormaly
985,1,1,normal
986,0,0,anormaly
987,1,1,normal
988,0,0,anormaly
989,0,0,anormaly
990,1,1,normal
991,0,0,anormaly
992,0,0,anormaly
993,0,0,anormaly
994,0,0,anormaly
995,1,1,normal
996,1,1,normal
997,0,0,anormaly
998,0,0,anormaly
999,1,1,normal
1000,0,0,anormaly
1001,1,1,normal
1002,1,1,normal
1003,0,0,anormaly
1004,0,0,anormaly
1005,1,1,normal
1006,1,1,normal
1007,0,0,anormaly
1008,1,1,normal
1009,0,0,anormaly
1010,0,0,anormaly
1011,1,1,normal
1012,0,0,anormaly
1013,0,0,anormaly
1014,1,1,normal
1015,0,0,anormaly
1016,0,0,anormaly
1017,1,1,normal
1018,0,0,anormaly
1019,0,0,anormaly
1020,0,0,anormaly
1021,0,1,normal
1022,0,0,anormaly
1023,0,0,anormaly
1024,0,0,anormaly
1025,1,1,normal
1026,1,1,normal
1027,0,0,anormaly
1028,1,1,normal
1029,0,0,anormaly
1030,1,1,normal
1031,1,1,normal
1032,0,0,anormaly
1033,1,1,normal
1034,0,0,anormaly
1035,1,1,normal
1036,0,0,anormaly
1037,1,1,normal
1038,0,0,anormaly
1039,0,1,normal
1040,1,1,normal
1041,0,0,anormaly
1042,0,0,anormaly
1043,1,1,normal
1044,1,1,normal
1045,0,0,anormaly
1046,1,1,normal
1047,1,1,normal
1048,1,0,anormaly
1049,0,0,anormaly
1050,1,1,normal
1051,0,0,anormaly
1052,0,0,anormaly
1053,1,1,normal
1054,0,0,anormaly
1055,0,0,anormaly
1056,1,1,normal
1057,0,0,anormaly
1058,1,1,normal
1059,0,0,anormaly
1060,0,1,normal
1061,1,1,normal
1062,0,0,anormaly
1063,1,1,normal
1064,1,1,normal
1065,0,0,anormaly
1066,1,1,normal
1067,0,0,anormaly
1068,1,1,normal
1069,1,1,normal
1070,0,0,anormaly
1071,0,0,anormaly
1072,0,0,anormaly
1073,0,0,anormaly
1074,1,1,normal
1075,0,0,anormaly
1076,1,1,normal
1077,1,1,normal
1078,0,0,anormaly
1079,1,1,normal
1080,0,0,anormaly
1081,1,1,normal
1082,1,1,normal
1083,0,0,anormaly
1084,1,1,normal
1085,0,0,anormaly
1086,1,1,normal
1087,1,1,normal
1088,0,0,anormaly
1089,0,0,anormaly
1090,1,1,normal
1091,0,0,anormaly
1092,1,1,normal
1093,0,0,anormaly
1094,0,0,anormaly
1095,0,0,anormaly
1096,1,1,normal
1097,1,1,normal
1098,1,1,normal
1099,1,1,normal
1100,0,0,anormaly
1101,1,1,normal
1102,1,1,normal
1103,1,1,normal
1104,1,1,normal
1105,0,0,anormaly
1106,0,0,anormaly
1107,1,1,normal
1108,1,1,normal
1109,1,1,normal
1110,1,1,normal
1111,0,0,anormaly
1112,1,1,normal
1113,0,0,anormaly
1114,1,1,normal
1115,0,0,anormaly
1116,1,1,normal
1117,0,0,anormaly
1118,0,0,anormaly
1119,1,1,normal
1120,1,1,normal
1121,1,1,normal
1122,0,0,anormaly
1123,0,0,anormaly
1124,1,1,normal
1125,0,1,normal
1126,1,1,normal
1127,1,1,normal
1128,1,1,normal
1129,1,1,normal
1130,1,1,normal
1131,1,1,normal
1132,0,0,anormaly
1133,1,1,normal
1134,1,1,normal
1135,0,0,anormaly
1136,0,0,anormaly
1137,0,0,anormaly
1138,1,1,normal
1139,0,0,anormaly
1140,0,0,anormaly
1141,0,0,anormaly
1142,0,0,anormaly
1143,0,0,anormaly
1144,0,0,anormaly
1145,1,1,normal
1146,0,0,anormaly
1147,1,1,normal
1148,0,0,anormaly
1149,0,0,anormaly
1150,0,0,anormaly
1151,0,0,anormaly
1152,1,1,normal
1153,1,1,normal
1154,0,0,anormaly
1155,0,0,anormaly
1156,0,0,anormaly
1157,0,0,anormaly
1158,0,0,anormaly
1159,0,0,anormaly
1160,0,0,anormaly
1161,1,1,normal
1162,0,0,anormaly
1163,0,0,anormaly
1164,0,0,anormaly
1165,0,0,anormaly
1166,0,0,anormaly
1167,1,1,normal
1168,0,0,anormaly
1169,0,0,anormaly
1170,0,0,anormaly
1171,0,0,anormaly
1172,1,1,normal
1173,1,1,normal
1174,0,0,anormaly
1175,1,1,normal
1176,1,1,normal
1177,0,0,anormaly
1178,1,1,normal
1179,1,1,normal
1180,0,0,anormaly
1181,1,1,normal
1182,0,0,anormaly
1183,0,0,anormaly
1184,0,0,anormaly
1185,0,0,anormaly
1186,1,1,normal
1187,1,1,normal
1188,1,1,normal
1189,1,1,normal
1190,0,0,anormaly
1191,0,0,anormaly
1192,1,1,normal
1193,1,1,normal
1194,1,1,normal
1195,0,0,anormaly
1196,1,1,normal
1197,1,1,normal
1198,0,0,anormaly
1199,1,1,normal
1200,1,1,normal
1201,0,0,anormaly
1202,0,0,anormaly
1203,0,0,anormaly
1204,1,1,normal
1205,1,1,normal
1206,1,1,normal
1207,0,0,anormaly
1208,1,1,normal
1209,0,0,anormaly
1210,1,1,normal
1211,0,0,anormaly
1212,1,1,normal
1213,0,0,anormaly
1214,1,1,normal
1215,0,0,anormaly
1216,0,0,anormaly
1217,1,1,normal
1218,1,1,normal
1219,1,1,normal
1220,0,0,anormaly
1221,0,1,normal
1222,1,1,normal
1223,0,0,anormaly
1224,0,0,anormaly
1225,0,0,anormaly
1226,1,1,normal
1227,0,0,anormaly
1228,0,0,anormaly
1229,1,1,normal
1230,1,1,normal
1231,1,1,normal
1232,0,0,anormaly
1233,1,1,normal
1234,0,0,anormaly
1235,0,0,anormaly
1236,0,0,anormaly
1237,1,1,normal
1238,0,0,anormaly
1239,1,1,normal
1240,1,1,normal
1241,1,1,normal
1242,1,1,normal
1243,1,1,normal
1244,1,1,normal
1245,0,0,anormaly
1246,1,1,normal
1247,1,1,normal
1248,1,1,normal
1249,1,1,normal
1250,0,0,anormaly
1251,1,1,normal
1252,1,1,normal
1253,1,1,normal
1254,0,0,anormaly
1255,1,1,normal
1256,1,1,normal
1257,0,0,anormaly
1258,0,0,anormaly
1259,0,0,anormaly
1260,1,1,normal
1261,1,1,normal
1262,0,0,anormaly
1263,0,0,anormaly
1264,0,0,anormaly
1265,1,1,normal
1266,0,0,anormaly
1267,0,0,anormaly
1268,1,1,normal
1269,0,0,anormaly
1270,1,1,normal
1271,0,0,anormaly
1272,0,0,anormaly
1273,0,0,anormaly
1274,1,1,normal
1275,0,0,anormaly
1276,1,1,normal
1277,0,1,normal
1278,0,0,anormaly
1279,0,0,anormaly
1280,0,0,anormaly
1281,0,0,anormaly
1282,1,1,normal
1283,0,1,normal
1284,1,1,normal
1285,0,0,anormaly
1286,0,0,anormaly
1287,1,1,normal
1288,1,1,normal
1289,0,0,anormaly
1290,1,1,normal
1291,0,0,anormaly
1292,1,1,normal
1293,0,0,anormaly
1294,1,1,normal
1295,0,0,anormaly
1296,1,1,normal
1297,1,1,normal
1298,0,0,anormaly
1299,1,0,anormaly
1300,1,1,normal
1301,0,0,anormaly
1302,0,0,anormaly
1303,0,0,anormaly
1304,0,1,normal
1305,1,1,normal
1306,0,0,anormaly
1307,1,1,normal
1308,0,0,anormaly
1309,0,0,anormaly
1310,1,1,normal
1311,1,1,normal
1312,0,0,anormaly
1313,0,0,anormaly
1314,1,1,normal
1315,1,1,normal
1316,1,1,normal
1317,1,1,normal
1318,0,0,anormaly
1319,1,1,normal
1320,0,0,anormaly
1321,0,0,anormaly
1322,0,0,anormaly
1323,1,1,normal
1324,0,0,anormaly
1325,0,0,anormaly
1326,0,0,anormaly
1327,0,0,anormaly
1328,1,1,normal
1329,0,0,anormaly
1330,0,0,anormaly
1331,1,1,normal
1332,0,0,anormaly
1333,1,1,normal
1334,1,1,normal
1335,1,1,normal
1336,1,1,normal
1337,1,1,normal
1338,1,1,normal
1339,1,1,normal
1340,1,1,normal
1341,1,1,normal
1342,1,1,normal
1343,0,0,anormaly
1344,0,0,anormaly
1345,1,1,normal
1346,1,1,normal
1347,0,0,anormaly
1348,0,0,anormaly
1349,1,1,normal
1350,1,1,normal
1351,1,1,normal
1352,0,1,normal
1353,0,0,anormaly
1354,0,0,anormaly
1355,0,0,anormaly
1356,1,0,anormaly
1357,0,1,normal
1358,0,0,anormaly
1359,0,0,anormaly
1360,1,1,normal
1361,0,0,anormaly
1362,0,0,anormaly
1363,0,0,anormaly
1364,1,1,normal
